path,tm_id,source,category_id,base_char_name
glyph_crops_merged_by_tm/TM_61073/5_20567_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_286_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20704_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_836_cat177__kornia.jpg,TM_61073,yolo,177,eta
glyph_crops_merged_by_tm/TM_61073/5_291_cat225__kornia.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_206_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20546_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19843_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20275_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20855_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_19896_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_978_cat7__kornia.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20281_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_451_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_20405_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_39_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_437_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_1020_cat201__kornia.jpg,TM_61073,yolo,201,upsilon
glyph_crops_merged_by_tm/TM_61073/5_20462_cat7__opencv.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20629_cat111__opencv.jpg,TM_61073,yolo,111,omicron
glyph_crops_merged_by_tm/TM_61073/5_20740_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_142_cat7__kornia.jpg,TM_61073,yolo,7,alpha
glyph_crops_merged_by_tm/TM_61073/5_20467_cat107__opencv.jpg,TM_61073,yolo,107,epsilon
glyph_crops_merged_by_tm/TM_61073/5_20501_cat119__opencv.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_803_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_386_cat8__kornia.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_578_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_19769_cat8__opencv.jpg,TM_61073,yolo,8,beta
glyph_crops_merged_by_tm/TM_61073/5_20903_cat225__opencv.jpg,TM_61073,yolo,225,eta
glyph_crops_merged_by_tm/TM_61073/5_699_cat119__kornia.jpg,TM_61073,yolo,119,lambda
glyph_crops_merged_by_tm/TM_61073/5_19817_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_19760_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_121_cat23__kornia.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_20517_cat23__opencv.jpg,TM_61073,yolo,23,iota
glyph_crops_merged_by_tm/TM_61073/5_675_cat100__kornia.jpg,TM_61073,yolo,100,xi
glyph_crops_merged_by_tm/TM_61073/5_90_cat23__kornia.jpg,TM_61073,yolo,23,iota
